Column1,index,protein_external_id,preferred_name,protein_size,"annotation
",nlp_processing,cancer_noun_identification,sent_negative,sent_positive,sent_neutral,cancer,TP,FP,TN,FN,cancer_real_label
10,1121,9606.ENSP00000236671,CTSD,412,cathepsin d acid protease active in intracellular protein breakdown plays a role in app processing following cleavage and activation by adam which leads to app degradation involved in the pathogenesis of several diseases such as breast cancer and possibly alzheimer disease cathepsins ,"['cathepsin', 'acid', 'protease', 'active', 'intracellular', 'protein', 'breakdown', 'play', 'role', 'app', 'processing', 'following', 'cleavage', 'activation', 'adam', 'lead', 'app', 'degradation', 'involved', 'pathogenesis', 'several', 'disease', 'breast', 'cancer', 'possibly', 'alzheimer', 'disease', 'cathepsins']",1,0.161,0.097,0.742,0,0,0,0,1,1
11,1145,9606.ENSP00000237612,ABCG2,655,atp binding cassette sub family g member  high capacity urate exporter functioning in both renal and extrarenal urate excretion plays a role in porphyrin homeostasis as it is able to mediates the export of protoporhyrin ix ppix both from mitochondria to cytosol and from cytosol to extracellular space and cellular export of hemin and heme xenobiotic transporter that may play an important role in the exclusion of xenobiotics from the brain appears to play a major role in the multidrug resistance phenotype of several cancer cell lines implicated in the efflux of numerous drugs a ,"['atp', 'binding', 'cassette', 'sub', 'family', 'g', 'member', 'high', 'capacity', 'urate', 'exporter', 'functioning', 'renal', 'extrarenal', 'urate', 'excretion', 'play', 'role', 'porphyrin', 'homeostasis', 'able', 'mediates', 'export', 'protoporhyrin', 'ix', 'ppix', 'mitochondrion', 'cytosol', 'cytosol', 'extracellular', 'space', 'cellular', 'export', 'hemin', 'heme', 'xenobiotic', 'transporter', 'may', 'play', 'important', 'role', 'exclusion', 'xenobiotics', 'brain', 'appears', 'play', 'major', 'role', 'multidrug', 'resistance', 'phenotype', 'several', 'cancer', 'cell', 'line', 'implicated', 'efflux', 'numerous', 'drug']",1,0.066,0.086,0.848,0,0,0,1,0,0
12,1178,9606.ENSP00000238823,FAM98A,518,protein fama positively stimulates prmt induced protein arginine methylation involved in skeletal homeostasis by similarity positively regulates lysosome peripheral distribution and ruffled border formation in osteoclasts by similarity promotes colorectal cancer cell malignancy trna splicing ligase complex ,"['protein', 'fama', 'positively', 'stimulates', 'prmt', 'induced', 'protein', 'arginine', 'methylation', 'involved', 'skeletal', 'homeostasis', 'similarity', 'positively', 'regulates', 'lysosome', 'peripheral', 'distribution', 'ruffled', 'border', 'formation', 'osteoclast', 'similarity', 'promotes', 'colorectal', 'cancer', 'cell', 'malignancy', 'trna', 'splicing', 'ligase', 'complex']",1,0.092,0.235,0.672,0,0,0,0,1,1
13,1204,9606.ENSP00000239462,TNN,1299,tenascin n extracellular matrix protein that seems to be a ligand for itga itgb itgav itgb and itga itgb by similarity involved in neurite outgrowth and cell migration in hippocampal explants by similarity during endochondral bone formation inhibits proliferation and differentiation of proteoblasts mediated by canonical wnt signaling by similarity in tumors stimulates angiogenesis by elongation migration and sprouting of endothelial cells expressed in most mammary tumors may facilitate tumorigenesis by supporting the migratory behavior of breast cancer cells belon ,"['tenascin', 'n', 'extracellular', 'matrix', 'protein', 'seems', 'ligand', 'itga', 'itgb', 'itgav', 'itgb', 'itga', 'itgb', 'similarity', 'involved', 'neurite', 'outgrowth', 'cell', 'migration', 'hippocampal', 'explants', 'similarity', 'endochondral', 'bone', 'formation', 'inhibits', 'proliferation', 'differentiation', 'proteoblasts', 'mediated', 'canonical', 'wnt', 'signaling', 'similarity', 'tumor', 'stimulates', 'angiogenesis', 'elongation', 'migration', 'sprouting', 'endothelial', 'cell', 'expressed', 'mammary', 'tumor', 'may', 'facilitate', 'tumorigenesis', 'supporting', 'migratory', 'behavior', 'breast', 'cancer', 'cell', 'belon']",1,0.074,0.058,0.869,0,0,0,0,1,1
14,1372,9606.ENSP00000244926,SCGB1D2,90,secretoglobin family d member  may bind androgens and other steroids may also bind estramustine a chemotherapeutic agent used for prostate cancer may be under transcriptional regulation of steroid hormones secretoglobins ,"['secretoglobin', 'family', 'member', 'may', 'bind', 'androgen', 'steroid', 'may', 'also', 'bind', 'estramustine', 'chemotherapeutic', 'agent', 'used', 'prostate', 'cancer', 'may', 'transcriptional', 'regulation', 'steroid', 'hormone', 'secretoglobins']",1,0.14,0,0.86,0,0,0,1,0,0
15,1373,9606.ENSP00000244930,SCGB2A1,95,mammaglobin b may bind androgens and other steroids may also bind estramustine a chemotherapeutic agent used for prostate cancer may be under transcriptional regulation of steroid hormones belongs to the secretoglobin family lipophilin subfamily ,"['mammaglobin', 'b', 'may', 'bind', 'androgen', 'steroid', 'may', 'also', 'bind', 'estramustine', 'chemotherapeutic', 'agent', 'used', 'prostate', 'cancer', 'may', 'transcriptional', 'regulation', 'steroid', 'hormone', 'belongs', 'secretoglobin', 'family', 'lipophilin', 'subfamily']",1,0.124,0,0.876,0,0,0,1,0,0
16,1471,9606.ENSP00000247191,DLGAP5,846,disks large associated protein  potential cell cycle regulator that may play a role in carcinogenesis of cancer cells mitotic phosphoprotein regulated by the ubiquitin proteasome pathway key regulator of adherens junction integrity and differentiation that may be involved in cdh mediated adhesion and signaling in epithelial cells ,"['disk', 'large', 'associated', 'protein', 'potential', 'cell', 'cycle', 'regulator', 'may', 'play', 'role', 'carcinogenesis', 'cancer', 'cell', 'mitotic', 'phosphoprotein', 'regulated', 'ubiquitin', 'proteasome', 'pathway', 'key', 'regulator', 'adherens', 'junction', 'integrity', 'differentiation', 'may', 'involved', 'cdh', 'mediated', 'adhesion', 'signaling', 'epithelial', 'cell']",1,0.084,0.095,0.821,0,0,0,0,1,1
17,1478,9606.ENSP00000247306,CTAG2,210,cancer testis antigen  ,"['cancer', 'testis', 'antigen']",1,0.688,0,0.312,1,1,0,0,0,1
18,1646,9606.ENSP00000251691,KIAA1244,2177,brefeldin a inhibited guanine nucleotide exchange protein  participates in the regulation of systemic glucose homeostasis where it negatively regulates insulin granule biogenesis in pancreatic islet beta cells by similarity also regulates glucagon granule production in pancreatic alpha cells by similarity inhibits nuclear translocation of the transcriptional coregulator phb and may enhance estrogen receptor alpha esr transcriptional activity in breast cancer cells ,"['brefeldin', 'inhibited', 'guanine', 'nucleotide', 'exchange', 'protein', 'participates', 'regulation', 'systemic', 'glucose', 'homeostasis', 'negatively', 'regulates', 'insulin', 'granule', 'biogenesis', 'pancreatic', 'islet', 'beta', 'cell', 'similarity', 'also', 'regulates', 'glucagon', 'granule', 'production', 'pancreatic', 'alpha', 'cell', 'similarity', 'inhibits', 'nuclear', 'translocation', 'transcriptional', 'coregulator', 'phb', 'may', 'enhance', 'estrogen', 'receptor', 'alpha', 'esr', 'transcriptional', 'activity', 'breast', 'cancer', 'cell']",1,0.119,0,0.881,0,0,0,1,0,0
19,1899,9606.ENSP00000255681,MACROD1,325,o acetyl adp ribose deacetylase macrod removes adp ribose from glutamate residues in proteins bearing a single adp ribose moiety inactive towards proteins bearing poly adp ribose deacetylates o acetyl adp ribose a signaling molecule generated by the deacetylation of acetylated lysine residues in histones and other proteins plays a role in estrogen signaling binds to androgen receptor ar and amplifies the transactivation function of ar in response to androgen may play an important role in carcinogenesis and or progression of hormone dependent cancers by feed forward mechanism ,"['acetyl', 'adp', 'ribose', 'deacetylase', 'macrod', 'remove', 'adp', 'ribose', 'glutamate', 'residue', 'protein', 'bearing', 'single', 'adp', 'ribose', 'moiety', 'inactive', 'towards', 'protein', 'bearing', 'poly', 'adp', 'ribose', 'deacetylates', 'acetyl', 'adp', 'ribose', 'signaling', 'molecule', 'generated', 'deacetylation', 'acetylated', 'lysine', 'residue', 'histone', 'protein', 'play', 'role', 'estrogen', 'signaling', 'bind', 'androgen', 'receptor', 'ar', 'amplifies', 'transactivation', 'function', 'ar', 'response', 'androgen', 'may', 'play', 'important', 'role', 'carcinogenesis', 'progression', 'hormone', 'dependent', 'cancer', 'feed', 'forward', 'mechanism']",1,0,0.072,0.928,0,0,0,0,1,1
20,1912,9606.ENSP00000256078,KRAS,189,gtpase kras ras proteins bind gdp gtp and possess intrinsic gtpase activity plays an important role in the regulation of cell proliferation plays a role in promoting oncogenic events by inducing transcriptional silencing of tumor suppressor genes tsgs in colorectal cancer crc cells in a znf dependent manner belongs to the small gtpase superfamily ras family ,"['gtpase', 'kras', 'ra', 'protein', 'bind', 'gdp', 'gtp', 'posse', 'intrinsic', 'gtpase', 'activity', 'play', 'important', 'role', 'regulation', 'cell', 'proliferation', 'play', 'role', 'promoting', 'oncogenic', 'event', 'inducing', 'transcriptional', 'silencing', 'tumor', 'suppressor', 'gene', 'tsgs', 'colorectal', 'cancer', 'crc', 'cell', 'znf', 'dependent', 'manner', 'belongs', 'small', 'gtpase', 'superfamily', 'ra', 'family']",1,0.133,0.13,0.737,0,0,0,0,1,1
21,1925,9606.ENSP00000256261,DUSP26,211,dual specificity protein phosphatase  inactivates mapk and mapk which leads to dephosphorylation of heat shock factor protein  and a reduction in its dna binding activity inhibits map kinase p by dephosphorylating it and inhibits p mediated apoptosis in anaplastic thyroid cancer cells can also induce activation of map kinase p and c jun n terminal kinase jnk belongs to the protein tyrosine phosphatase family non receptor class dual specificity subfamily ,"['dual', 'specificity', 'protein', 'phosphatase', 'inactivates', 'mapk', 'mapk', 'lead', 'dephosphorylation', 'heat', 'shock', 'factor', 'protein', 'reduction', 'dna', 'binding', 'activity', 'inhibits', 'map', 'kinase', 'p', 'dephosphorylating', 'inhibits', 'p', 'mediated', 'apoptosis', 'anaplastic', 'thyroid', 'cancer', 'cell', 'also', 'induce', 'activation', 'map', 'kinase', 'p', 'c', 'jun', 'n', 'terminal', 'kinase', 'jnk', 'belongs', 'protein', 'tyrosine', 'phosphatase', 'family', 'non', 'receptor', 'class', 'dual', 'specificity', 'subfamily']",1,0.153,0,0.847,0,0,0,1,0,0
22,2105,9606.ENSP00000258729,IGF2BP3,579,insulin like growth factor  mrna binding protein  rna binding factor that may recruit target transcripts to cytoplasmic protein rna complexes mrnps this transcript caging into mrnps allows mrna transport and transient storage it also modulates the rate and location at which target transcripts encounter the translational apparatus and shields them from endonuclease attacks or microrna mediated degradation binds to the  utr of cd mrna and stabilizes it hence promotes cell adhesion and invadopodia formation in cancer cells binds to beta actin actb and myc transcripts bin ,"['insulin', 'like', 'growth', 'factor', 'mrna', 'binding', 'protein', 'rna', 'binding', 'factor', 'may', 'recruit', 'target', 'transcript', 'cytoplasmic', 'protein', 'rna', 'complex', 'mrnps', 'transcript', 'caging', 'mrnps', 'allows', 'mrna', 'transport', 'transient', 'storage', 'also', 'modulates', 'rate', 'location', 'target', 'transcript', 'encounter', 'translational', 'apparatus', 'shield', 'endonuclease', 'attack', 'microrna', 'mediated', 'degradation', 'bind', 'utr', 'cd', 'mrna', 'stabilizes', 'hence', 'promotes', 'cell', 'adhesion', 'invadopodia', 'formation', 'cancer', 'cell', 'bind', 'beta', 'actin', 'actb', 'myc', 'transcript', 'bin']",1,0.109,0.076,0.815,0,0,0,0,1,1
23,2210,9606.ENSP00000260187,USP2,605,ubiquitin carboxyl terminal hydrolase  hydrolase that deubiquitinates polyubiquitinated target proteins such as mdm mdm and ccnd isoform  and isoform  possess both ubiquitin specific peptidase and isopeptidase activities by similarity deubiquitinates mdm without reversing mdm mediated p tp ubiquitination and thus indirectly promotes p tp degradation and limits p activity has no deubiquitinase activity against p tp prevents mdm mediated degradation of mdm plays a role in the g s cell cycle progression in normal and cancer cells regulates the circadian ,"['ubiquitin', 'carboxyl', 'terminal', 'hydrolase', 'hydrolase', 'deubiquitinates', 'polyubiquitinated', 'target', 'protein', 'mdm', 'mdm', 'ccnd', 'isoform', 'isoform', 'posse', 'ubiquitin', 'specific', 'peptidase', 'isopeptidase', 'activity', 'similarity', 'deubiquitinates', 'mdm', 'without', 'reversing', 'mdm', 'mediated', 'p', 'tp', 'ubiquitination', 'thus', 'indirectly', 'promotes', 'p', 'tp', 'degradation', 'limit', 'p', 'activity', 'deubiquitinase', 'activity', 'p', 'tp', 'prevents', 'mdm', 'mediated', 'degradation', 'mdm', 'play', 'role', 'g', 'cell', 'cycle', 'progression', 'normal', 'cancer', 'cell', 'regulates', 'circadian']",1,0.157,0.067,0.776,0,0,0,0,1,1
24,2434,9606.ENSP00000261893,LACTB,547,serine beta lactamase like protein lactb mitochondrial mitochondrial serine protease that acts as a regulator of mitochondrial lipid metabolism acts by decreasing protein levels of pisd a mitochondrial enzyme that converts phosphatidylserine ptdser to phosphatidylethanolamine ptdetn thereby affecting mitochondrial lipid metabolism it is unclear whether it acts directly by mediating proteolysis of pisd or by mediating proteolysis of another lipid metabolism protein acts as a tumor suppressor that has the ability to inhibit proliferation of multiple types of breast cancer cell ,"['serine', 'beta', 'lactamase', 'like', 'protein', 'lactb', 'mitochondrial', 'mitochondrial', 'serine', 'protease', 'act', 'regulator', 'mitochondrial', 'lipid', 'metabolism', 'act', 'decreasing', 'protein', 'level', 'pisd', 'mitochondrial', 'enzyme', 'convert', 'phosphatidylserine', 'ptdser', 'phosphatidylethanolamine', 'ptdetn', 'thereby', 'affecting', 'mitochondrial', 'lipid', 'metabolism', 'unclear', 'whether', 'act', 'directly', 'mediating', 'proteolysis', 'pisd', 'mediating', 'proteolysis', 'another', 'lipid', 'metabolism', 'protein', 'act', 'tumor', 'suppressor', 'ability', 'inhibit', 'proliferation', 'multiple', 'type', 'breast', 'cancer', 'cell']",1,0.131,0.054,0.814,0,0,0,1,0,0
25,2461,9606.ENSP00000262102,MTUS1,1270,microtubule associated tumor suppressor  cooperates with agtr to inhibit erk activation and cell proliferation may be required for agtr cell surface expression together with ptpn induces ubev expression upon angiotensin ii stimulation isoform  inhibits breast cancer cell proliferation delays the progression of mitosis by prolonging metaphase and reduces tumor growth belongs to the mtus family ,"['microtubule', 'associated', 'tumor', 'suppressor', 'cooperates', 'agtr', 'inhibit', 'erk', 'activation', 'cell', 'proliferation', 'may', 'required', 'agtr', 'cell', 'surface', 'expression', 'together', 'ptpn', 'induces', 'ubev', 'expression', 'upon', 'angiotensin', 'ii', 'stimulation', 'isoform', 'inhibits', 'breast', 'cancer', 'cell', 'proliferation', 'delay', 'progression', 'mitosis', 'prolonging', 'metaphase', 'reduces', 'tumor', 'growth', 'belongs', 'mtus', 'family']",1,0.215,0.04,0.746,0,0,0,1,0,0
26,2510,9606.ENSP00000262305,RAB11FIP3,756,rab family interacting protein  acts as a regulator of endocytic traffic by participating in membrane delivery required for the abcission step in cytokinesis possibly by acting as an address tag delivering recycling endosome membranes to the cleavage furrow during late cytokinesis also required for the structural integrity of the endosomal recycling compartment during interphase may play a role in breast cancer cell motility by regulating actin cytoskeleton acts as an adapter protein linking the dynein motor complex to various cargos and converts dynein from a non processive ,"['rab', 'family', 'interacting', 'protein', 'act', 'regulator', 'endocytic', 'traffic', 'participating', 'membrane', 'delivery', 'required', 'abcission', 'step', 'cytokinesis', 'possibly', 'acting', 'address', 'tag', 'delivering', 'recycling', 'endosome', 'membrane', 'cleavage', 'furrow', 'late', 'cytokinesis', 'also', 'required', 'structural', 'integrity', 'endosomal', 'recycling', 'compartment', 'interphase', 'may', 'play', 'role', 'breast', 'cancer', 'cell', 'motility', 'regulating', 'actin', 'cytoskeleton', 'act', 'adapter', 'protein', 'linking', 'dynein', 'motor', 'complex', 'various', 'cargo', 'convert', 'dynein', 'non', 'processive']",1,0.049,0.055,0.896,0,0,0,0,1,1
27,2647,9606.ENSP00000263083,DPH1,443,  amino  carboxypropyl histidine synthase subunit  required for the first step in the synthesis of diphthamide a post translational modification of histidine which occurs in translation elongation factor  eef when overexpressed suppresses colony formation ability and growth rate of ovarian cancer cells acts also as a tumor suppressor in lung and breast cancers by similarity plays a role in embryonic growth organogenesis and postnatal survival by similarity minor histocompatibility antigens ,"['amino', 'carboxypropyl', 'histidine', 'synthase', 'subunit', 'required', 'first', 'step', 'synthesis', 'diphthamide', 'post', 'translational', 'modification', 'histidine', 'occurs', 'translation', 'elongation', 'factor', 'eef', 'overexpressed', 'suppresses', 'colony', 'formation', 'ability', 'growth', 'rate', 'ovarian', 'cancer', 'cell', 'act', 'also', 'tumor', 'suppressor', 'lung', 'breast', 'cancer', 'similarity', 'play', 'role', 'embryonic', 'growth', 'organogenesis', 'postnatal', 'survival', 'similarity', 'minor', 'histocompatibility', 'antigen']",1,0.092,0.124,0.784,0,0,0,1,0,0
28,2913,9606.ENSP00000264606,HDAC4,1084,histone deacetylase  responsible for the deacetylation of lysine residues on the n terminal part of the core histones ha hb h and h histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation cell cycle progression and developmental events histone deacetylases act via the formation of large multiprotein complexes involved in muscle maturation via its interaction with the myocyte enhancer factors such as mefa mefc and mefd involved in the mta mediated epigenetic regulation of esr expression in breast cancer ,"['histone', 'deacetylase', 'responsible', 'deacetylation', 'lysine', 'residue', 'n', 'terminal', 'part', 'core', 'histone', 'ha', 'hb', 'h', 'h', 'histone', 'deacetylation', 'give', 'tag', 'epigenetic', 'repression', 'play', 'important', 'role', 'transcriptional', 'regulation', 'cell', 'cycle', 'progression', 'developmental', 'event', 'histone', 'deacetylases', 'act', 'via', 'formation', 'large', 'multiprotein', 'complex', 'involved', 'muscle', 'maturation', 'via', 'interaction', 'myocyte', 'enhancer', 'factor', 'mefa', 'mefc', 'mefd', 'involved', 'mta', 'mediated', 'epigenetic', 'regulation', 'esr', 'expression', 'breast', 'cancer']",1,0.077,0.093,0.831,0,0,0,0,1,1
29,2999,9606.ENSP00000265052,MGLL,313,monoglyceride lipase converts monoacylglycerides to free fatty acids and glycerol hydrolyzes the endocannabinoid  arachidonoylglycerol and thereby contributes to the regulation of endocannabinoid signaling nociperception and perception of pain by similarity regulates the levels of fatty acids that serve as signaling molecules and promote cancer cell migration invasion and tumor growth lipases ,"['monoglyceride', 'lipase', 'convert', 'monoacylglycerides', 'free', 'fatty', 'acid', 'glycerol', 'hydrolyzes', 'endocannabinoid', 'arachidonoylglycerol', 'thereby', 'contributes', 'regulation', 'endocannabinoid', 'signaling', 'nociperception', 'perception', 'pain', 'similarity', 'regulates', 'level', 'fatty', 'acid', 'serve', 'signaling', 'molecule', 'promote', 'cancer', 'cell', 'migration', 'invasion', 'tumor', 'growth', 'lipase']",1,0.161,0.133,0.705,0,0,0,0,1,1
30,3252,9606.ENSP00000267984,MESDC1,362,talin rod domain containing protein  actin binding protein which may have an oncogenic function and regulates cell proliferation migration and invasion in cancer cells ,"['talin', 'rod', 'domain', 'containing', 'protein', 'actin', 'binding', 'protein', 'may', 'oncogenic', 'function', 'regulates', 'cell', 'proliferation', 'migration', 'invasion', 'cancer', 'cell']",1,0.161,0,0.839,0,0,0,0,1,1
31,3446,9606.ENSP00000271688,CERS2,380,ceramide synthase  suppresses the growth of cancer cells may be involved in sphingolipid synthesis cers class homeoboxes ,"['ceramide', 'synthase', 'suppresses', 'growth', 'cancer', 'cell', 'may', 'involved', 'sphingolipid', 'synthesis', 'cer', 'class', 'homeobox']",1,0.2,0.118,0.682,0,0,0,1,0,0
